product_id,product_name,category,cost_price,stock_quantity
PROD00001,Practical Ceramic Bike,Furniture,308.59,143
PROD00002,Frozen Concrete Shirt,Furniture,125.15,108
PROD00003,Practical Silk Pizza,Toys,357.38,81
PROD00004,Ergonomic Metal Table,Furniture,509.69,266
PROD00005,Handmade Metal Chips,Furniture,991.85,259
PROD00006,Soft Cotton Chips,Toys,341.99,99
PROD00007,Recycled Metal Hat,Furniture,282.19,222
PROD00008,Ergonomic Bamboo Bike,Electronics,323.89,322
PROD00009,Unbranded Marble Gloves,Grocery,588.99,227
PROD00010,Modern Aluminum Table,Clothing,196.15,197
PROD00011,Unbranded Cotton Mouse,Clothing,533.19,95
PROD00012,Recycled Marble Gloves,Grocery,392.89,367
PROD00013,Incredible Bronze Salad,Toys,80.29,180
PROD00014,Bespoke Rubber Shoes,Furniture,897.41,89
PROD00015,Refined Bamboo Chicken,Electronics,185.85,387
PROD00016,Oriental Cotton Mouse,Toys,63.49,126
PROD00017,Sleek Metal Chips,Clothing,247.99,89
PROD00018,Tasty Plastic Sausages,Clothing,861.09,478
PROD00019,Tasty Bronze Pants,Electronics,394.09,355
PROD00020,Bespoke Wooden Tuna,Electronics,428.19,130
PROD00021,Elegant Concrete Computer,Electronics,351.85,327
PROD00022,Elegant Granite Fish,Electronics,775.75,457
PROD00023,Awesome Aluminum Bike,Grocery,522.69,12
PROD00024,Recycled Marble Towels,Electronics,810.59,476
PROD00025,Electronic Concrete Car,Electronics,222.75,119
PROD00026,Soft Aluminum Gloves,Furniture,236.10,420
PROD00027,Awesome Gold Sausages,Grocery,171.89,160
PROD00028,Ergonomic Concrete Table,Grocery,863.69,438
PROD00029,Gorgeous Silk Mouse,Furniture,874.59,92
PROD00030,Handcrafted Silk Tuna,Electronics,54.25,136
PROD00031,Awesome Silk Sausages,Furniture,72.45,38
PROD00032,Frozen Rubber Gloves,Clothing,278.39,14
PROD00033,Soft Steel Shirt,Clothing,873.19,380
PROD00034,Generic Concrete Sausages,Furniture,542.75,364
PROD00035,Recycled Steel Computer,Clothing,838.21,3
PROD00036,Rustic Granite Chair,Furniture,350.05,485
PROD00037,Soft Silk Ball,Grocery,582.15,348
PROD00038,Frozen Aluminum Towels,Electronics,743.25,191
PROD00039,Incredible Metal Ball,Toys,82.49,378
