product_id,product_name,category,total_stock,avg_cost_price
PROD00001,Practical Ceramic Bike,Furniture,143,308.59
PROD00002,Frozen Concrete Shirt,Furniture,108,125.15
PROD00003,Practical Silk Pizza,Toys,81,357.38
PROD00004,Ergonomic Metal Table,Furniture,266,509.69
PROD00005,Handmade Metal Chips,Furniture,259,991.85
PROD00006,Soft Cotton Chips,Toys,99,341.99
PROD00007,Recycled Metal Hat,Furniture,222,282.19
PROD00008,Ergonomic Bamboo Bike,Electronics,322,323.89
PROD00009,Unbranded Marble Gloves,Grocery,227,588.99
PROD00010,Modern Aluminum Table,Clothing,197,196.15
PROD00011,Unbranded Cotton Mouse,Clothing,95,533.19
PROD00012,Recycled Marble Gloves,Grocery,367,392.89
PROD00013,Incredible Bronze Salad,Toys,180,80.29
PROD00014,Bespoke Rubber Shoes,Furniture,89,897.41
PROD00015,Refined Bamboo Chicken,Electronics,387,185.85
PROD00016,Oriental Cotton Mouse,Toys,126,63.49
PROD00017,Sleek Metal Chips,Clothing,89,247.99
PROD00018,Tasty Plastic Sausages,Clothing,478,861.09
PROD00019,Tasty Bronze Pants,Electronics,355,394.09
PROD00020,Bespoke Wooden Tuna,Electronics,130,428.19
PROD00021,Elegant Concrete Computer,Electronics,327,351.85
PROD00022,Elegant Granite Fish,Electronics,457,775.75
PROD00023,Awesome Aluminum Bike,Grocery,12,522.69
PROD00024,Recycled Marble Towels,Electronics,476,810.59
PROD00025,Electronic Concrete Car,Electronics,119,222.75
PROD00026,Soft Aluminum Gloves,Furniture,420,236.1
PROD00027,Awesome Gold Sausages,Grocery,160,171.89
PROD00028,Ergonomic Concrete Table,Grocery,438,863.69
PROD00029,Gorgeous Silk Mouse,Furniture,92,874.59
PROD00030,Handcrafted Silk Tuna,Electronics,136,54.25
PROD00031,Awesome Silk Sausages,Furniture,38,72.45
PROD00032,Frozen Rubber Gloves,Clothing,14,278.39
PROD00033,Soft Steel Shirt,Clothing,380,873.19
PROD00034,Generic Concrete Sausages,Furniture,364,542.75
PROD00035,Recycled Steel Computer,Clothing,3,838.21
PROD00036,Rustic Granite Chair,Furniture,485,350.05
PROD00037,Soft Silk Ball,Grocery,348,582.15
PROD00038,Frozen Aluminum Towels,Electronics,191,743.25
PROD00039,Incredible Metal Ball,Toys,378,82.49
PROD00040,Soft Rubber Shirt,Toys,219,105.79
