transaction_id,customer_id,customer_name,product_id,product_name,category,quantity,price,transaction_date,store_id,profit
TXN000001,CUST179,,PROD439,Unknown,Unknown,72,33.05,2025-09-14,STORE42,2379.6
TXN000002,CUST886,,PROD181,Unknown,Unknown,66,758.59,2025-09-27,STORE3,50066.94
TXN000003,CUST565,,PROD150,Unknown,Unknown,94,367.39,2025-09-25,STORE15,34534.659999999996
TXN000004,CUST158,,PROD115,Unknown,Unknown,41,372.55,2025-09-24,STORE54,15274.550000000001
TXN000005,CUST316,,PROD447,Unknown,Unknown,55,879.19,2025-09-06,STORE32,48355.450000000004
TXN000006,CUST479,,PROD443,Unknown,Unknown,70,510.25,2025-09-23,STORE61,35717.5
TXN000007,CUST634,,PROD298,Unknown,Unknown,78,495.35,2025-09-14,STORE35,38637.3
TXN000008,CUST222,,PROD298,Unknown,Unknown,76,233.9,2025-09-24,STORE37,17776.4
TXN000009,CUST880,,PROD260,Unknown,Unknown,74,538.09,2025-09-12,STORE7,39818.66
TXN000010,CUST173,,PROD343,Unknown,Unknown,65,165.59,2025-09-29,STORE98,10763.35
TXN000011,CUST853,,PROD140,Unknown,Unknown,15,326.19,2025-09-28,STORE34,4892.85
TXN000012,CUST141,,PROD108,Unknown,Unknown,65,527.2,2025-09-08,STORE88,34268.0
TXN000013,CUST671,,PROD82,Unknown,Unknown,44,458.85,2025-09-04,STORE12,20189.4
TXN000014,CUST372,,PROD142,Unknown,Unknown,23,770.15,2025-09-29,STORE74,17713.45
TXN000015,CUST501,,PROD143,Unknown,Unknown,74,187.95,2025-09-21,STORE36,13908.3
TXN000016,CUST289,,PROD330,Unknown,Unknown,52,297.49,2025-09-21,STORE28,15469.48
TXN000017,CUST63,,PROD348,Unknown,Unknown,75,430.49,2025-09-11,STORE41,32286.75
TXN000018,CUST250,,PROD303,Unknown,Unknown,55,48.15,2025-09-17,STORE93,2648.25
TXN000019,CUST197,,PROD56,Unknown,Unknown,29,133.35,2025-09-11,STORE36,3867.1499999999996
TXN000020,CUST144,,PROD345,Unknown,Unknown,55,63.39,2025-09-09,STORE97,3486.45
TXN000021,CUST275,,PROD312,Unknown,Unknown,14,914.2,2025-09-25,STORE95,12798.800000000001
TXN000022,CUST753,,PROD366,Unknown,Unknown,99,254.19,2025-09-01,STORE23,25164.81
TXN000023,CUST69,,PROD233,Unknown,Unknown,14,922.19,2025-09-18,STORE58,12910.66
TXN000024,CUST174,,PROD1,Unknown,Unknown,93,15.55,2025-09-02,STORE69,1446.15
TXN000025,CUST13,,PROD438,Unknown,Unknown,36,664.09,2025-09-10,STORE36,23907.24
TXN000026,CUST755,,PROD49,Unknown,Unknown,62,985.45,2025-09-24,STORE21,61097.9
TXN000027,CUST951,,PROD499,Unknown,Unknown,64,313.79,2025-09-29,STORE73,20082.56
TXN000028,CUST805,,PROD17,Unknown,Unknown,73,470.73,2025-09-11,STORE23,34363.29
TXN000029,CUST856,,PROD71,Unknown,Unknown,71,741.49,2025-09-15,STORE49,52645.79
TXN000030,CUST459,,PROD228,Unknown,Unknown,51,210.05,2025-09-29,STORE69,10712.550000000001
TXN000031,CUST693,,PROD242,Unknown,Unknown,86,315.75,2025-09-01,STORE71,27154.5
TXN000032,CUST474,,PROD106,Unknown,Unknown,22,24.59,2025-09-09,STORE1,540.98
TXN000033,CUST43,,PROD356,Unknown,Unknown,12,711.75,2025-09-13,STORE1,8541.0
TXN000034,CUST879,,PROD366,Unknown,Unknown,51,722.49,2025-09-09,STORE74,36846.99
TXN000035,CUST97,,PROD434,Unknown,Unknown,87,418.65,2025-09-18,STORE64,36422.549999999996
TXN000036,CUST379,,PROD296,Unknown,Unknown,4,915.55,2025-09-04,STORE98,3662.2
TXN000037,CUST714,,PROD358,Unknown,Unknown,61,736.39,2025-09-12,STORE43,44919.79
